CategoryName,Source,NumberOfPapers
"""cognitive semantics""","""OpenAlex""",1
"""information elicitation""","""OpenAIRE""",1
"""belief elicitation""","""OpenAIRE""",1
"""stimulus sampling""","""OpenAIRE""",1
"""pyrosequencing""","""OpenAIRE""",1
"""rna, bacterial""","""OpenAIRE""",1
"""amplicon""","""OpenAIRE""",1
"""microbial diversity""","""OpenAIRE""",1
"""amplicon""","""OpenAlex""",1
"""autopsy""","""OpenAIRE""",1
"""developmental dyslexia""","""OpenAIRE""",1
"""geniculate""","""OpenAIRE""",1
"""parvocellular cell""","""OpenAIRE""",1
"""lateral geniculate nucleus""","""OpenAlex""",1
"""magnocellular cell""","""OpenAlex""",1
"""actuator saturation""","""OpenAIRE""",1
"""ring network""","""OpenAIRE""",1
"""complex formation""","""OpenAIRE""",1
"""passivity""","""OpenAlex""",1
"""field conditions""","""OpenAIRE""",1
"""sustainable agriculture""","""OpenAIRE""",1
"""disease detection""","""OpenAIRE""",1
"""veterinary medicine""","""OpenAlex""",1
"""animal health""","""OpenAlex""",1
"""interface design""","""OpenAlex""",1
"""relative intensity noise""","""OpenAIRE""",1
"""advance care planning""","""OpenAlex""",1
"""panel discussion""","""OpenAlex""",1
"""palliative care""","""OpenAlex""",1
"""advance care planning""","""OpenAIRE""",1
"""advisory committee""","""OpenAIRE""",1
"""interdisciplinary research""","""OpenAIRE""",1
"""policy initiatives""","""OpenAIRE""",1
"""time cost""","""OpenAIRE""",1
"""time constraint""","""OpenAlex""",1
"""isocline""","""OpenAIRE""",1
"""isodar""","""OpenAIRE""",1
"""ideal free distribution""","""OpenAlex""",1
"""social informatics""","""OpenAIRE""",1
"""state of affairs""","""OpenAIRE""",1
"""computer-supported cooperative work""","""OpenAIRE""",1
"""computer-supported cooperative work""","""OpenAlex""",1
"""intelligent tutoring system""","""OpenAlex""",1
"""spike count""","""OpenAIRE""",1
"""transitions studies""","""OpenAIRE""",1
"""sustainable business models (sbm)""","""OpenAIRE""",1
"""innovation systems""","""OpenAIRE""",1
"""transition management""","""OpenAIRE""",1
"""evolutionary""","""OpenAIRE""",1
"""ecological modernization""","""OpenAlex""",1
"""activity-system approach""","""OpenAIRE""",1
"""solar-energy""","""OpenAIRE""",1
"""sustainable value""","""OpenAIRE""",1
"""value proposition""","""OpenAIRE""",1
"""sustainability transition""","""OpenAIRE""",1
"""web directory""","""OpenAIRE""",1
"""digital library""","""OpenAIRE""",1
"""intelligent algorithms""","""OpenAIRE""",1
"""surface conditions""","""OpenAIRE""",1
"""pavement condition index""","""OpenAIRE""",1
"""mühendislik, ortak disiplinler""","""OpenAIRE""",1
"""engineering, multidisciplinary""","""OpenAIRE""",1
"""pavement management""","""OpenAIRE""",1
"""rut""","""OpenAIRE""",1
"""community and home care""","""OpenAIRE""",1
"""zaria – kaduna highway,data mining,pavement surface condition,optimization,weka software""","""OpenAIRE""",1
"""[shs.hisphilso]humanities and social sciences/history, philosophy and sociology of sciences""","""OpenAIRE""",1
"""regular and irregular verbs""","""OpenAIRE""",1
"""grammatical tense""","""OpenAIRE""",1
"""rules of language""","""OpenAIRE""",1
"""english grammar""","""OpenAIRE""",1
"""second messenger system""","""OpenAIRE""",1
"""nitric oxide metabolism""","""OpenAIRE""",1
"""explanation-based learning""","""OpenAIRE""",1
"""psychological distance""","""OpenAIRE""",1
"""social stratification""","""OpenAIRE""",1
"""small-world experiment""","""OpenAIRE""",1
"""modality (semiotics)""","""OpenAIRE""",1
"""metaphysical necessity""","""OpenAIRE""",1
"""outer product""","""OpenAIRE""",1
"""ground""","""OpenAIRE""",1
"""ground""","""OpenAlex""",1
"""gauge theory""","""OpenAIRE""",1
"""twistor space""","""OpenAIRE""",1
"""helicity""","""OpenAIRE""",1
"""string theory""","""OpenAIRE""",1
"""position and momentum space""","""OpenAIRE""",1
"""holomorphic function""","""OpenAIRE""",1
"""gauge boson""","""OpenAlex""",1
"""gauge fixing""","""OpenAlex""",1
"""gauge theory""","""OpenAlex""",1
"""quantum gauge theory""","""OpenAlex""",1
"""string theory""","""OpenAlex""",1
"""twistor space""","""OpenAlex""",1
"""twistor theory""","""OpenAlex""",1
"""software evolution""","""OpenAIRE""",1
"""inference engine""","""OpenAIRE""",1
"""program derivation""","""OpenAIRE""",1
"""program code""","""OpenAlex""",1
"""sequence labeling""","""OpenAlex""",1
"""coupling strength""","""OpenAIRE""",1
"""linearity""","""OpenAlex""",1
"""irreducibility""","""OpenAlex""",1
"""smooth pursuit""","""OpenAIRE""",1
"""fuzzy differential equations""","""OpenAIRE""",1
"""fuzzy initial value problem""","""OpenAIRE""",1
"""aerospace medicine""","""OpenAIRE""",1
"""severe acute respiratory syndrome""","""OpenAIRE""",1
"""local infection""","""OpenAIRE""",1
"""civil aviation""","""OpenAIRE""",1
"""venise""","""OpenAIRE""",1
"""opéra""","""OpenAIRE""",1
"""musique religieuse""","""OpenAIRE""",1
"""musique instrumentale""","""OpenAIRE""",1
"""ospedali""","""OpenAIRE""",1
"""low latency (capital markets)""","""OpenAlex""",1
"""imaging modalities""","""OpenAIRE""",1
"""absorption contrast""","""OpenAIRE""",1
"""gene prediction; gene structure; markov model""","""OpenAIRE""",1
"""u-statistic""","""OpenAIRE""",1
"""copula (linguistics)""","""OpenAIRE""",1
"""distribution function""","""OpenAIRE""",1
"""copula (linguistics)""","""OpenAlex""",1
"""bridge (interpersonal)""","""OpenAIRE""",1
"""odorants""","""OpenAIRE""",1
"""solid solution""","""OpenAIRE""",1
"""atomic spacing""","""OpenAIRE""",1
"""enthalpy of mixing""","""OpenAIRE""",1
"""flory–huggins solution theory""","""OpenAIRE""",1
"""enthalpy""","""OpenAIRE""",1
"""spinodal decomposition""","""OpenAIRE""",1
"""spinodal""","""OpenAIRE""",1
"""binodal""","""OpenAIRE""",1
"""enthalpy""","""OpenAlex""",1
"""solid solution""","""OpenAlex""",1
"""enthalpy of mixing""","""OpenAlex""",1
"""binodal""","""OpenAlex""",1
"""spinodal decomposition""","""OpenAlex""",1
"""spinodal""","""OpenAlex""",1
"""economic sector""","""OpenAIRE""",1
"""new product diffusion""","""OpenAIRE""",1
"""access management""","""OpenAIRE""",1
"""life-critical system""","""OpenAlex""",1
"""barrier function""","""OpenAIRE""",1
"""life-critical system""","""OpenAIRE""",1
"""psychoanalytic theory""","""OpenAIRE""",1
"""sociotropy""","""OpenAIRE""",1
"""self-criticism""","""OpenAIRE""",1
"""childhood development""","""OpenAIRE""",1
"""hydrophobic and hydrophilic interactions""","""OpenAIRE""",1
"""london dispersion force""","""OpenAIRE""",1
"""enthusiasm""","""OpenAlex""",1
"""london dispersion force""","""OpenAlex""",1
"""fourier transform infrared spectroscopy""","""OpenAIRE""",1
"""specific surface area""","""OpenAIRE""",1
"""thermogravimetric analysis""","""OpenAIRE""",1
"""carbon fibers""","""OpenAlex""",1
"""crystallinity""","""OpenAlex""",1
"""fourier transform infrared spectroscopy""","""OpenAlex""",1
"""thermogravimetric analysis""","""OpenAlex""",1
"""semantic mapping""","""OpenAIRE""",1
"""semantic computing""","""OpenAlex""",1
"""semantic mapping""","""OpenAlex""",1
"""data rate""","""OpenAIRE""",1
"""difference-map algorithm""","""OpenAIRE""",1
"""myoglobin""","""OpenAIRE""",1
"""circular dichroism""","""OpenAIRE""",1
"""circular dichroism""","""OpenAlex""",1
"""sociobiology""","""OpenAlex""",1
"""user communities""","""OpenAIRE""",1
"""product development""","""OpenAIRE""",1
"""causal ambiguity""","""OpenAIRE""",1
"""open strategy""","""OpenAIRE""",1
"""crowdsource""","""OpenAIRE""",1
"""rugged landscapes""","""OpenAIRE""",1
"""anosognosia""","""OpenAlex""",1
"""apraxias""","""OpenAIRE""",1
"""anosognosia""","""OpenAIRE""",1
"""phantom limb""","""OpenAIRE""",1
"""psychotic disorders""","""OpenAIRE""",1
"""information fusion""","""OpenAIRE""",1
"""spanish civil war""","""OpenAIRE""",1
"""teaching english""","""OpenAlex""",1
"""alpha (programming language)""","""OpenAIRE""",1
"""cavity method""","""OpenAIRE""",1
"""boolean satisfiability problem""","""OpenAlex""",1
"""dream""","""OpenAIRE""",1
"""coherent control""","""OpenAIRE""",1
"""axiomatic system""","""OpenAIRE""",1
"""quantum control""","""OpenAlex""",1
"""ultrashort pulse""","""OpenAlex""",1
"""dream""","""OpenAlex""",1
"""duration neglect""","""OpenAIRE""",1
"""heckman correction""","""OpenAIRE""",1
"""monte carlo studies""","""OpenAIRE""",1
"""collinearity""","""OpenAlex""",1
"""pooling data""","""OpenAIRE""",1
"""cochran–mantel–haenszel statistics""","""OpenAIRE""",1
"""quorum sensing""","""OpenAIRE""",1
"""quorum sensing""","""OpenAlex""",1
"""classroom management""","""OpenAIRE""",1
"""standardized test""","""OpenAlex""",1
"""neural network controller""","""OpenAIRE""",1
"""overconsumption""","""OpenAIRE""",1
"""weight control""","""OpenAIRE""",1
"""food intake""","""OpenAIRE""",1
"""food consumption""","""OpenAlex""",1
"""overconsumption""","""OpenAlex""",1
"""artificial intelligence.""","""OpenAIRE""",1
"""pertinent negatives""","""OpenAIRE""",1
"""narrative medical reports""","""OpenAIRE""",1
"""unified medical language system""","""OpenAIRE""",1
"""regular expression""","""OpenAIRE""",1
"""exactly solvable and integrable systems (nlin.si)""","""OpenAIRE""",1
"""nonlinear sciences - exactly solvable and integrable systems""","""OpenAIRE""",1
"""restricted isometry property""","""OpenAIRE""",1
"""space–time code""","""OpenAIRE""",1
"""mimo radar""","""OpenAIRE""",1
"""antenna aperture""","""OpenAIRE""",1
"""obstetrics""","""OpenAIRE""",1
"""diagnostic algorithms""","""OpenAIRE""",1
"""obstetrics and gynecology""","""OpenAIRE""",1
"""cuckoo""","""OpenAIRE""",1
"""amateur""","""OpenAlex""",1
"""social science education""","""OpenAIRE""",1
"""social constructivism""","""OpenAlex""",1
"""bird migration""","""OpenAIRE""",1
"""flight speed""","""OpenAIRE""",1
"""compromise""","""OpenAIRE""",1
"""limited resources""","""OpenAIRE""",1
"""opportunism""","""OpenAIRE""",1
"""reserve design""","""OpenAIRE""",1
"""nature reserve""","""OpenAlex""",1
"""opportunism""","""OpenAlex""",1
"""computational architecture""","""OpenAIRE""",1
"""environmental systems""","""OpenAIRE""",1
"""geographic distribution""","""OpenAIRE""",1
"""decision quality""","""OpenAlex""",1
"""decisional conflict""","""OpenAIRE""",1
"""daily practice""","""OpenAIRE""",1
"""clinical prediction rule""","""OpenAlex""",1
"""medical history""","""OpenAlex""",1
"""physical examination""","""OpenAlex""",1
"""benchmarking, component substitution (cs), multiresolution analysis (mra),multispectral (ms) pansharpening,quality assessment, very high-resolution optical images""","""OpenAIRE""",1
"""benchmarking, component substitution (cs), multiresolution analysis (mra), multispectral (ms) pansharpening, quality assessment, very high-resolution optical images""","""OpenAIRE""",1
"""multispectral (ms) pansharpening""","""OpenAIRE""",1
"""very high-resolution optical images""","""OpenAIRE""",1
"""component substitution (cs)""","""OpenAIRE""",1
"""multiresolution analysis (mra)""","""OpenAIRE""",1
"""local environment""","""OpenAIRE""",1
"""diagnostic accuracy""","""OpenAIRE""",1
"""human decision""","""OpenAIRE""",1
"""marginal product of capital""","""OpenAIRE""",1
"""indeterminacy (literature)""","""OpenAIRE""",1
"""growth rate ; investments ; technology ; enterprises ; business cycles""","""OpenAIRE""",1
"""monopolistic competition""","""OpenAIRE""",1
"""imperfect competition""","""OpenAlex""",1
"""marginal product""","""OpenAlex""",1
"""creative destruction""","""OpenAlex""",1
"""indeterminacy (philosophy)""","""OpenAlex""",1
"""monopolistic competition""","""OpenAlex""",1
"""hard–easy effect""","""OpenAIRE""",1
"""calibrated probability assessment""","""OpenAIRE""",1
"""probabilistic classification""","""OpenAlex""",1
"""online advertising""","""OpenAIRE""",1
"""perceived interactivity""","""OpenAIRE""",1
"""sincere voting""","""OpenAIRE""",1
"""common knowledge (logic)""","""OpenAlex""",1
"""jury""","""OpenAlex""",1
"""causal reasoning""","""OpenAIRE""",1
"""absolute continuity""","""OpenAIRE""",1
"""open reading frames""","""OpenAIRE""",1
"""haemophilus influenzae""","""OpenAIRE""",1
"""microbial dna""","""OpenAIRE""",1
"""helicobacter pylori""","""OpenAIRE""",1
"""haemophilus influenzae""","""OpenAlex""",1
"""salamander""","""OpenAlex""",1
"""vertebrate""","""OpenAlex""",1
"""terrestrial locomotion""","""OpenAlex""",1
"""exoskeleton""","""OpenAlex""",1
"""pleurodeles""","""OpenAIRE""",1
"""terrestrial locomotion""","""OpenAIRE""",1
"""salamander""","""OpenAIRE""",1
"""typestate analysis""","""OpenAIRE""",1
"""energy functional""","""OpenAIRE""",1
"""energy functional""","""OpenAlex""",1
"""spike-timing-dependent plasticity""","""OpenAIRE""",1
"""gamma rhythm""","""OpenAIRE""",1
"""spike-timing-dependent plasticity""","""OpenAlex""",1
"""openness to experience""","""OpenAIRE""",1
"""educational inequality""","""OpenAIRE""",1
"""social mobility""","""OpenAIRE""",1
"""status attainment""","""OpenAlex""",1
"""graphics processing unit""","""OpenAlex""",1
"""health records""","""OpenAlex""",1
"""computer applications to medicine. medical informatics""","""OpenAIRE""",1
"""r858-859.7""","""OpenAIRE""",1
"""drug regulation""","""OpenAIRE""",1
"""top executives""","""OpenAIRE""",1
"""corporate title""","""OpenAIRE""",1
"""representation (politics)""","""OpenAIRE""",1
"""directors, gender, boards, values, risk""","""OpenAIRE""",1
"""break the glass""","""OpenAIRE""",1
"""glass ceiling""","""OpenAIRE""",1
"""glass ceiling""","""OpenAlex""",1
"""matroid""","""OpenAIRE""",1
"""quadratic assignment problem""","""OpenAlex""",1
"""matroid""","""OpenAlex""",1
"""materials design""","""OpenAIRE""",1
"""inverse kinematics""","""OpenAIRE""",1
"""moore–penrose pseudoinverse""","""OpenAlex""",1
"""area sampling""","""OpenAIRE""",1
"""demographic data""","""OpenAIRE""",1
"""probability sampling""","""OpenAlex""",1
"""survey sampling""","""OpenAlex""",1
"""organizational communication""","""OpenAIRE""",1
"""social order""","""OpenAIRE""",1
"""theories of technology""","""OpenAIRE""",1
"""radiological weapon""","""OpenAlex""",1
"""coopetition""","""OpenAIRE""",1
"""members""","""OpenAIRE""",1
"""social identity""","""OpenAIRE""",1
"""in-group favoritism""","""OpenAIRE""",1
"""intergroup behavior""","""OpenAIRE""",1
"""differentiation""","""OpenAIRE""",1
"""ingroup bias""","""OpenAIRE""",1
"""in-group""","""OpenAIRE""",1
"""out-group homogeneity""","""OpenAIRE""",1
"""in-group favoritism""","""OpenAlex""",1
"""phylogenetic network""","""OpenAIRE""",1
"""computational phylogenetics""","""OpenAIRE""",1
"""computational phylogenetics""","""OpenAlex""",1
"""approximate bayesian computation""","""OpenAIRE""",1
"""font""","""OpenAIRE""",1
"""visual word form area""","""OpenAIRE""",1
"""dynamic magnetic resonance imaging""","""OpenAIRE""",1
"""computer science, interdisciplinary applications""","""OpenAIRE""",1
"""radiology, nuclear medicine & medical imaging""","""OpenAIRE""",1
"""engineering, biomedical""","""OpenAIRE""",1
"""imaging science & photographic technology""","""OpenAIRE""",1
"""sense""","""OpenAIRE""",1
"""traumatic shock""","""OpenAlex""",1
"""terrorism""","""OpenAlex""",1
"""traumatic stress""","""OpenAlex""",1
"""business analytics""","""OpenAIRE""",1
"""publishing""","""OpenAlex""",1
"""action research""","""OpenAlex""",1
"""quantum teleportation""","""OpenAIRE""",1
"""coherent information""","""OpenAIRE""",1
"""quantum capacity""","""OpenAIRE""",1
"""quantum channel""","""OpenAIRE""",1
"""no-teleportation theorem""","""OpenAIRE""",1
"""classical capacity""","""OpenAIRE""",1
"""coherent information""","""OpenAlex""",1
"""quantum capacity""","""OpenAlex""",1
"""amplitude damping channel""","""OpenAlex""",1
"""quantum channel""","""OpenAlex""",1
"""classical capacity""","""OpenAlex""",1
"""hemagglutinins""","""OpenAIRE""",1
"""streptavidin""","""OpenAIRE""",1
"""camphor 5-monooxygenase""","""OpenAIRE""",1
"""phosphorylcholine""","""OpenAIRE""",1
"""biotin""","""OpenAIRE""",1
"""immunoglobulin fab fragments""","""OpenAIRE""",1
"""hiv protease""","""OpenAIRE""",1
"""trypsin""","""OpenAIRE""",1
"""azepines""","""OpenAIRE""",1
"""hiv protease inhibitors""","""OpenAIRE""",1
"""n-acetylneuraminic acid""","""OpenAIRE""",1
"""benzamidines""","""OpenAIRE""",1
"""camphor""","""OpenAIRE""",1
"""interview data""","""OpenAIRE""",1
"""socioeconomics""","""OpenAIRE""",1
"""jel:p16""","""OpenAIRE""",1
"""culture; institutions""","""OpenAIRE""",1
"""institutions, culture""","""OpenAIRE""",1
"""cultural economics""","""OpenAIRE""",1
"""big five personality traits and culture""","""OpenAIRE""",1
"""economics, econometrics""","""OpenAIRE""",1
"""jel:z1""","""OpenAIRE""",1
"""causal analysis""","""OpenAIRE""",1
"""unconsciousness""","""OpenAIRE""",1
"""unconsciousness""","""OpenAlex""",1
"""surface dyslexia""","""OpenAIRE""",1
"""phonological dyslexia""","""OpenAIRE""",1
"""acquired dyslexia""","""OpenAIRE""",1
"""biological theories of dyslexia""","""OpenAlex""",1
"""learning disability""","""OpenAIRE""",1
"""aplysia""","""OpenAIRE""",1
"""neurochemical""","""OpenAIRE""",1
"""conditioning, classical""","""OpenAIRE""",1
"""stimulus generalization""","""OpenAIRE""",1
"""memory formation""","""OpenAlex""",1
"""neurochemical""","""OpenAlex""",1
"""grid cell""","""OpenAlex""",1
"""border cells""","""OpenAlex""",1
"""parasubiculum""","""OpenAIRE""",1
"""border cells""","""OpenAIRE""",1
"""strong consistency""","""OpenAlex""",1
"""facet (psychology)""","""OpenAlex""",1
"""trait anxiety""","""OpenAlex""",1
"""linear least squares""","""OpenAIRE""",1
"""modified huffman coding""","""OpenAIRE""",1
"""canonical huffman code""","""OpenAIRE""",1
"""universal code""","""OpenAIRE""",1
"""huffman coding""","""OpenAIRE""",1
"""prefix code""","""OpenAIRE""",1
"""huffman coding""","""OpenAlex""",1
"""port (computer networking)""","""OpenAIRE""",1
"""slow steaming""","""OpenAIRE""",1
"""locally compact group""","""OpenAIRE""",1
"""compact-open topology""","""OpenAIRE""",1
"""hausdorff space""","""OpenAIRE""",1
"""uniform continuity""","""OpenAIRE""",1
"""product metric""","""OpenAlex""",1
"""uniform continuity""","""OpenAlex""",1
"""locally compact space""","""OpenAlex""",1
"""value network""","""OpenAIRE""",1
"""strategic decision""","""OpenAIRE""",1
"""enterprise modeling""","""OpenAIRE""",1
"""learning effect""","""OpenAIRE""",1
"""personality judgment""","""OpenAIRE""",1
"""agreeableness""","""OpenAIRE""",1
"""agreeableness""","""OpenAlex""",1
"""frequency distribution""","""OpenAIRE""",1
"""degree of similarity""","""OpenAIRE""",1
"""adaptive behavior (ecology)""","""OpenAIRE""",1
"""ecological genetics""","""OpenAIRE""",1
"""gasterosteus""","""OpenAlex""",1
"""dynamic behavior""","""OpenAIRE""",1
"""molecular motor proteins""","""OpenAIRE""",1
"""absolute stereochemistry""","""OpenAIRE""",1
"""molecular switch""","""OpenAIRE""",1
"""unique chiral olefins""","""OpenAIRE""",1
"""circular-dichroism""","""OpenAIRE""",1
"""sterically overcrowded alkenes""","""OpenAIRE""",1
"""molecular switch""","""OpenAlex""",1
"""mad transformation""","""OpenAIRE""",1
"""regularization or penalization""","""OpenAIRE""",1
"""ir-mad""","""OpenAIRE""",1
"""canonical correlation analysis""","""OpenAIRE""",1
"""radar cross-section""","""OpenAIRE""",1
"""compartmentalization (fire protection)""","""OpenAlex""",1
"""insomnia""","""OpenAIRE""",1
"""sleep state misperception""","""OpenAIRE""",1
"""minnesota multiphasic personality inventory""","""OpenAIRE""",1
"""mmpi""","""OpenAIRE""",1
"""sleep initiation and maintenance disorders""","""OpenAIRE""",1
"""personality traits""","""OpenAIRE""",1
"""sleep disorders/breathing abnormalities""","""OpenAIRE""",1
"""perfectionism (psychology)""","""OpenAIRE""",1
"""autostereoscopy""","""OpenAIRE""",1
"""three dimensional imaging""","""OpenAIRE""",1
"""d display""","""OpenAIRE""",1
"""liquid-crystal display""","""OpenAIRE""",1
"""autostereoscopy""","""OpenAlex""",1
"""california""","""OpenAIRE""",1
"""young adult""","""OpenAlex""",1
"""personality changes""","""OpenAlex""",1
"""longitudinal sample""","""OpenAlex""",1
"""personality development""","""OpenAlex""",1
"""longitudinal survey""","""OpenAIRE""",1
"""rational planning model""","""OpenAlex""",1
"""stage transitions""","""OpenAIRE""",1
"""stages of change""","""OpenAIRE""",1
"""prevention research""","""OpenAIRE""",1
"""stage (cooking)""","""OpenAIRE""",1
"""web site""","""OpenAIRE""",1
"""precaution adoption process model""","""OpenAIRE""",1
"""mean age""","""OpenAIRE""",1
"""nutrition surveys""","""OpenAIRE""",1
"""human study""","""OpenAIRE""",1
"""yoga""","""OpenAIRE""",1
"""rank correlation""","""OpenAIRE""",1
"""therapy naive""","""OpenAIRE""",1
"""mental wellbeing""","""OpenAIRE""",1
"""fractional neutral evolution equations""","""OpenAIRE""",1
"""nonlocal cauchy problem""","""OpenAIRE""",1
"""probability density""","""OpenAIRE""",1
"""mild solution""","""OpenAIRE""",1
"""fractional power""","""OpenAIRE""",1
"""fixed-point theorem""","""OpenAIRE""",1
"""analytic semigroup""","""OpenAIRE""",1
"""fixed-point theorem""","""OpenAlex""",1
"""ground reaction force""","""OpenAlex""",1
"""prohibitins""","""OpenAIRE""",1
"""ground reaction force""","""OpenAIRE""",1
"""forward dynamic""","""OpenAIRE""",1
"""dynamic simulation""","""OpenAIRE""",1
"""static optimization""","""OpenAIRE""",1
"""topological derivative""","""OpenAIRE""",1
"""bubble""","""OpenAIRE""",1
"""invasive species""","""OpenAIRE""",1
"""conjunctive query""","""OpenAIRE""",1
"""codd's theorem""","""OpenAlex""",1
"""conjunctive query""","""OpenAlex""",1
"""relational calculus""","""OpenAlex""",1
"""cartesian product""","""OpenAlex""",1
"""relational algebra""","""OpenAlex""",1
"""dna walker""","""OpenAIRE""",1
"""inverted repeat sequences""","""OpenAIRE""",1
"""track (disk drive)""","""OpenAIRE""",1
"""movement (clockwork)""","""OpenAIRE""",1
"""furocoumarins""","""OpenAIRE""",1
"""nucleic acid denaturation""","""OpenAIRE""",1
"""brownian motor""","""OpenAlex""",1
"""trajectories""","""OpenAIRE""",1
"""moving objects""","""OpenAIRE""",1
"""requirements analysis""","""OpenAIRE""",1
"""gis""","""OpenAIRE""",1
"""trajectories; moving objects; spatio-temporal databases; gis""","""OpenAIRE""",1
"""conceptual modeling""","""OpenAIRE""",1
"""spatio-temporal databases""","""OpenAIRE""",1
"""\"" intrinsic motivation\""""","""OpenAIRE""",1
"""\"" validation\""""","""OpenAIRE""",1
"""extrinsic motivation""","""OpenAIRE""",1
"""cross-cultural""","""OpenAIRE""",1
"""\"" autonomous motivation\""""","""OpenAIRE""",1
"""\"" extrinsic motivation\""""","""OpenAIRE""",1
"""\"" controlled motivation""","""OpenAIRE""",1
"""\""self-determination theory\""""","""OpenAIRE""",1
"""autonomous motivation""","""OpenAIRE""",1
"""work motivation\""""","""OpenAIRE""",1
"""controlled motivation""","""OpenAIRE""",1
"""sensation disorders""","""OpenAIRE""",1
"""balance disorders""","""OpenAIRE""",1
"""balance training""","""OpenAlex""",1
"""physical endurance""","""OpenAIRE""",1
"""exercise physiology""","""OpenAIRE""",1
"""nutritional physiological phenomena""","""OpenAIRE""",1
"""incremental exercise""","""OpenAIRE""",1
"""epinephrine""","""OpenAIRE""",1
"""sports medicine""","""OpenAlex""",1
"""effects of sleep deprivation on cognitive performance""","""OpenAlex""",1
"""biological fluids""","""OpenAIRE""",1
"""biochemistry (medical)""","""OpenAIRE""",1
"""spatial heterogeneity""","""OpenAIRE""",1
"""global biodiversity""","""OpenAIRE""",1
"""metapopulation""","""OpenAIRE""",1
"""superorganism""","""OpenAIRE""",1
"""colonization""","""OpenAlex""",1
"""patch dynamics""","""OpenAlex""",1
"""balance of nature""","""OpenAIRE""",1
"""ecological anthropology""","""OpenAIRE""",1
"""applied ecology""","""OpenAlex""",1
"""systems ecology""","""OpenAlex""",1
"""environmental social science""","""OpenAlex""",1
"""lcsh:ts1-2301""","""OpenAIRE""",1
"""lcsh:hf5001-6182""","""OpenAIRE""",1
"""manufacturing systems""","""OpenAIRE""",1
"""intelligent manufacturing systems""","""OpenAIRE""",1
"""smart manufacturing""","""OpenAIRE""",1
"""lcsh:manufactures""","""OpenAIRE""",1
"""lcsh:business""","""OpenAIRE""",1
"""linear approximation""","""OpenAIRE""",1
"""virtual teams""","""OpenAIRE""",1
"""communication architectures""","""OpenAIRE""",1
"""virtual environments""","""OpenAIRE""",1
"""virtual enterprises""","""OpenAIRE""",1
"""virtual communication""","""OpenAIRE""",1
"""reconfiguration dynamics""","""OpenAIRE""",1
"""virtual communication architecture""","""OpenAIRE""",1
"""virtual enterprises.""","""OpenAIRE""",1
"""virtual interfaces""","""OpenAIRE""",1
"""direct communication""","""OpenAIRE""",1
"""anonymity""","""OpenAlex""",1
"""virtual community""","""OpenAlex""",1
"""clinical performance""","""OpenAIRE""",1
"""tractament del senyal""","""OpenAIRE""",1
"""artificial satellites in telecommunication""","""OpenAIRE""",1
"""àrees temàtiques de la upc::enginyeria de la telecomunicació""","""OpenAIRE""",1
""":enginyeria de la telecomunicació [àrees temàtiques de la upc]""","""OpenAIRE""",1
"""satèl·lits artificials en telecomunicació""","""OpenAIRE""",1
"""adaptive beamformer""","""OpenAlex""",1
"""antenna array""","""OpenAlex""",1
"""convolutional code""","""OpenAIRE""",1
"""biconvex optimization""","""OpenAIRE""",1
"""phase correlation""","""OpenAlex""",1
"""gross anatomy""","""OpenAIRE""",1
"""anatomy & morphology""","""OpenAIRE""",1
"""dissection (medical)""","""OpenAlex""",1
"""specialty""","""OpenAlex""",1
"""embryology""","""OpenAIRE""",1
"""attitude to death""","""OpenAIRE""",1
"""specialty""","""OpenAIRE""",1
"""prosection""","""OpenAIRE""",1
"""dissection""","""OpenAIRE""",1
"""generalized mean""","""OpenAlex""",1
"""head start""","""OpenAIRE""",1
"""incomplete lu factorization""","""OpenAlex""",1
"""surround suppression""","""OpenAlex""",1
"""ensembles of classifiers""","""OpenAIRE""",1
"""ricart–agrawala algorithm""","""OpenAIRE""",1
"""maekawa's algorithm""","""OpenAIRE""",1
"""the intersect""","""OpenAIRE""",1
"""mutual exclusion""","""OpenAlex""",1
"""rumination""","""OpenAlex""",1
"""rumination""","""OpenAIRE""",1
"""cognitive assessment system""","""OpenAIRE""",1
"""obsessive behavior""","""OpenAIRE""",1
"""demonstrative""","""OpenAlex""",1
"""object-based attention""","""OpenAIRE""",1
"""sentence processing""","""OpenAIRE""",1
"""brown clustering""","""OpenAlex""",1
"""hierarchical clustering of networks""","""OpenAlex""",1
"""object-oriented design""","""OpenAIRE""",1
"""extrusion""","""OpenAIRE""",1
"""deposition (phase transition)""","""OpenAIRE""",1
"""fused filament fabrication""","""OpenAIRE""",1
"""fused deposition modeling""","""OpenAIRE""",1
"""design of experiments""","""OpenAlex""",1
"""extrusion""","""OpenAlex""",1
"""cellular regulation""","""OpenAIRE""",1
"""intercellular transport""","""OpenAIRE""",1
"""chronobiology""","""OpenAlex""",1
"""musical acoustics""","""OpenAlex""",1
"""mutational meltdown""","""OpenAIRE""",1
"""settore med/09 - medicina interna""","""OpenAIRE""",1
"""protocol deviation""","""OpenAIRE""",1
"""analysis of clinical trials""","""OpenAIRE""",1
"""clinical trials""","""OpenAIRE""",1
"""sensitivity analyses""","""OpenAIRE""",1
"""sensitivity and specificity ; clinical trials as topic ; humans ; outcome and process assessment (health care) ; research design""","""OpenAIRE""",1
"""fractal dynamics""","""OpenAIRE""",1
"""random-walk""","""OpenAIRE""",1
"""data reduction""","""OpenAlex""",1
"""coordination""","""OpenAIRE""",1
"""long-range correlations""","""OpenAIRE""",1
